]0;IPython: Forschungspraxis/Project[2017-03-28 15:30:21,942] Making new env: MountainCar-v0
[2017-03-28 15:30:21,943] Making new env: MountainCar-v0
[2017-03-28 15:30:21,943] Making new env: MountainCar-v0
[2017-03-28 15:30:21,944] Making new env: MountainCar-v0
]0;IPython: Forschungspraxis/Project[2017-03-28 15:44:34,468] Making new env: MountainCar-v0
[2017-03-28 15:44:34,469] Making new env: MountainCar-v0
[2017-03-28 15:44:34,470] Making new env: MountainCar-v0
[2017-03-28 15:44:34,471] Making new env: MountainCar-v0
[2017-03-28 15:44:34,472] Making new env: MountainCar-v0
[2017-03-28 15:44:34,472] Making new env: MountainCar-v0
[2017-03-28 15:44:34,473] Making new env: MountainCar-v0
[2017-03-28 15:44:34,474] Making new env: MountainCar-v0
